ID,Type,SKU,Name,Handle,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
1132,variable,,Lips printed in black half sleeves night suit for her(249),ID,1,0,visible,,"<img class=""alignnone wp-image-4795"" src=""https://essentialscart.pk/wp-content/uploads/2021/06/size-chart-rex-small-less-300x300.jpg"" alt="""" width=""376"" height=""376"" />
\n
\n&nbsp;
\n
\nDress for her
\nFabric: - Soft Cotton Jersey
\nSize: - Medium- Large- XL
\n
\nDelivery 3-5 days
\n
\n&nbsp;
\n
\nCheck out our satisfied customers' reviews
\n
\n&nbsp;
\n
\n1-Satisfied Customer reviews on Instagram
\n
\n<a href=""https://www.instagram.com/s/aGlnaGxpZ2h0OjE4MTcwNzE1MzQwMTA3Mjg0?igshid=jshwjs05fpfw"">https://www.instagram.com/s/aGlnaGxpZ2h0OjE4MTcwNzE1MzQwMTA3Mjg0?igshid=jshwjs05fpfw</a>
\n
\n&nbsp;
\n
\n2-Satisfied Customer reviews on Instagram
\n
\n<a href=""https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTMzMzYzNzY3NTgzNTM2?story_media_id=2611283413150367937_31282880262&amp;utm_medium=copy_link"">https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTMzMzYzNzY3NTgzNTM2?story_media_id=2611283413150367937_31282880262&amp;utm_medium=copy_link</a>
\n
\n&nbsp;
\n
\n3-satisfied customer reviews on Instagram
\n
\n<a href=""https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTMwODM5ODEzNzE2Nzk2?story_media_id=2650257576113287535_31282880262&amp;utm_medium=copy_link"">https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTMwODM5ODEzNzE2Nzk2?story_media_id=2650257576113287535_31282880262&amp;utm_medium=copy_link</a>
\n
\n&nbsp;
\n
\n&nbsp;
\n
\n&nbsp;",,,taxable,,0,,,0,0,,,,,1,,,,Clothing,,,"https://essentialscart.pk/wp-content/uploads/2020/09/lips-6.png, https://essentialscart.pk/wp-content/uploads/2020/09/lips-6.png, https://essentialscart.pk/wp-content/uploads/2020/09/lips-1.png, https://essentialscart.pk/wp-content/uploads/2020/09/lips-2.png, https://essentialscart.pk/wp-content/uploads/2020/09/lips-3.png, https://essentialscart.pk/wp-content/uploads/2020/09/lips-4.png, https://essentialscart.pk/wp-content/uploads/2020/09/lips-5.png, https://essentialscart.pk/wp-content/uploads/2020/09/lips-7.png",,,,,,,,,474,,sizes,"small, Medium, Large, Extra large",1,0,Medium,,,,
1272,variation,Extra large-Lips printed in black(249),Lips printed in black half sleeves night suit for her(249) - Extra large,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,999,2000,,,,,,,id:1132,,,,,,3,,sizes,Extra large,,0,,,,,
1295,variable,,Smile kids night suit for kids(256),,1,0,visible,,"<ul>
\n 	<li>Kids baby Girl/baby Boy  suit</li>
\n 	<li>Best for summers</li>
\n 	<li>Comfortable for all-day wear</li>
\n 	<li>(1 Pcs)Price:-749/-(200 delivery charges apply</li>
\n 	<li>Fabric (Soft Cotton Jersey)</li>
\n 	<li>Size: 1to 2 years, 3 to 4 years. 5 to 6 years, 7 to 8 years, 9 to 10 years</li>
\n</ul>
\n<img class=""alignnone size-medium wp-image-2810"" src=""https://essentialscart.pk/wp-content/uploads/2020/12/kids-updated-size-chart-300x300.jpg"" alt="""" width=""300"" height=""300"" />
\n
\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,,Kids,,,https://essentialscart.pk/wp-content/uploads/2020/09/256.jpeg,,,,,,,,,106,,kids sizes,"1-2 years, 3 to 4 years, 5 to 6 years, 7 to 8 years, 9 to 10 years",1,0,1-2 years,,,,
1296,variation,3 to 4 years-Smile kids(256),Smile kids night suit for kids(256) - 3 to 4 years,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,749,1200,,,,,,,id:1295,,,,,,1,,kids sizes,3 to 4 years,,0,,,,,
1297,variation,5 to 6 years-Smile kids(256),Smile kids night suit for kids(256) - 5 to 6 years,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,749,1200,,,,,,,id:1295,,,,,,3,,kids sizes,5 to 6 years,,0,,,,,
1298,variation,7 to 8 years-Smile kids(256),Smile kids night suit for kids(256) - 7 to 8 years,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,749,1200,,,,,,,id:1295,,,,,,4,,kids sizes,7 to 8 years,,0,,,,,
1299,variation,9to10 years-Smile kids(256),Smile kids night suit for kids(256) - 9 to 10 years,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,749,1200,,,,,,,id:1295,,,,,,5,,kids sizes,9 to 10 years,,0,,,,,
1303,variable,,two rabbits night suit for kids(257),,1,0,visible,,"<ul>
\n 	<li>Kids baby Girl/baby Boy night suit</li>
\n 	<li>Best for summers</li>
\n 	<li>Comfortable for all-day wear</li>
\n 	<li>(1 Pcs)Price:-650/-(200 delivery charges apply</li>
\n 	<li>Fabric (Soft Cotton Jersey)</li>
\n 	<li>Size: 1to 2 years, 3 to 4 years. 5 to 6 years, 7 to 8 years, 9 to 10 years</li>
\n</ul>
\n<img class=""alignnone size-medium wp-image-2810"" src=""https://essentialscart.pk/wp-content/uploads/2020/12/kids-updated-size-chart-300x300.jpg"" alt="""" width=""300"" height=""300"" />
\n
\n&nbsp;",,,taxable,,0,,,0,0,,,,,1,,,,Kids,,,https://essentialscart.pk/wp-content/uploads/2020/09/257.jpeg,,,,,,,,,71,,kids sizes,"3 to 4 years, 5 to 6 years, 7 to 8 years, 9 to 10 years",1,0,,,,,
1304,variation,3 to 4 years-two rabbits(257),two rabbits night suit for kids(257) - 3 to 4 years,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,650,,,,,,,id:1303,,,,,,1,,kids sizes,3 to 4 years,,0,,,,,
1305,variation,5 to 6 years-two rabbits(257),two rabbits night suit for kids(257) - 5 to 6 years,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,650,,,,,,,id:1303,,,,,,2,,kids sizes,5 to 6 years,,0,,,,,
